,5/17/2023,2.36%,-0.93%,-0.60%,-1.00%,3.79%,4.32%,-0.76%,-5.32%,0.36%,-0.73%,1.38%,0.26%
,5/24/2023,2.46%,-1.43%,0.77%,1.38%,-4.95%,3.42%,2.42%,2.08%,-0.64%,-1.15%,-2.99%,0.13%
,5/31/2023,1.96%,-0.95%,3.25%,2.73%,3.00%,0.84%,0.02%,-2.21%,-1.15%,3.03%,-2.21%,0.75%
,6/7/2023,-0.48%,-3.24%,-1.90%,1.40%,-2.07%,1.76%,-1.35%,5.63%,2.73%,1.03%,-2.86%,0.06%
,6/14/2023,-0.35%,-1.43%,-1.38%,-3.34%,0.06%,-5.43%,-0.49%,-1.12%,-0.88%,-1.93%,1.79%,-1.32%
,6/21/2023,-1.79%,-4.51%,1.19%,-3.66%,-1.48%,1.80%,-2.41%,-1.71%,-4.85%,0.02%,0.02%,-1.58%
,6/28/2023,-0.87%,-1.95%,-1.00%,-2.44%,-3.23%,-2.36%,-2.58%,-1.45%,-4.50%,-2.35%,-0.93%,-2.15%
,7/5/2023,-0.08%,4.33%,2.44%,3.76%,-0.62%,1.84%,-1.37%,1.24%,-1.21%,-0.95%,1.08%,0.95%
,7/12/2023,1.27%,4.39%,0.06%,2.42%,3.64%,-1.34%,3.42%,6.28%,12.25%,-1.33%,2.67%,3.07%
,7/19/2023,-1.70%,-2.23%,0.98%,0.13%,0.38%,-4.43%,-0.10%,-0.03%,6.78%,-1.45%,0.16%,-0.14%
,7/26/2023,0.24%,0.79%,0.46%,1.08%,-2.17%,-2.06%,-0.56%,-2.18%,1.42%,1.65%,1.01%,-0.03%
,8/2/2023,0.06%,-0.49%,-0.44%,-0.56%,0.33%,1.24%,2.86%,2.95%,1.63%,0.34%,-1.47%,0.59%
,8/9/2023,1.89%,0.83%,1.08%,5.10%,1.82%,2.22%,-0.55%,0.52%,-0.51%,0.70%,1.48%,1.33%
,8/16/2023,-1.97%,-4.56%,-0.35%,0.58%,0.62%,0.41%,-3.81%,-5.68%,-0.28%,0.60%,-0.41%,-1.35%
,8/23/2023,-1.32%,-5.55%,-0.75%,4.36%,-0.49%,-1.99%,3.41%,2.34%,-1.40%,0.76%,3.66%,0.27%
,8/30/2023,0.82%,-4.36%,-0.40%,-3.77%,-3.80%,0.63%,2.27%,-3.40%,3.72%,2.66%,0.38%,-0.48%
,9/6/2023,-0.10%,-2.99%,0.22%,-1.19%,-0.70%,0.96%,-1.19%,-1.85%,7.32%,0.11%,3.31%,0.35%
,9/13/2023,-1.12%,-2.26%,0.09%,-2.53%,7.27%,0.23%,-3.39%,-4.21%,-0.36%,2.12%,-1.89%,-0.55%
,9/20/2023,4.06%,3.65%,-0.64%,9.16%,-0.63%,-0.75%,1.47%,1.49%,5.90%,0.84%,6.03%,2.78%
,9/27/2023,0.82%,3.97%,0.15%,6.94%,3.51%,-1.85%,1.23%,-0.28%,0.32%,-0.70%,-0.74%,1.22%
,10/4/2023,-1.93%,-1.19%,-0.09%,-0.17%,-2.02%,-0.38%,0.12%,2.25%,-1.48%,0.08%,-1.56%,-0.58%
,10/11/2023,-1.00%,-1.37%,1.42%,1.53%,-1.88%,1.09%,1.27%,5.11%,1.95%,-0.26%,0.22%,0.73%
,10/18/2023,1.41%,2.26%,-0.98%,-0.21%,-0.07%,-0.39%,6.28%,6.89%,3.19%,4.03%,-0.20%,2.02%
,10/25/2023,3.05%,1.71%,1.01%,0.18%,1.78%,1.09%,0.18%,2.24%,0.38%,-1.97%,8.15%,1.62%
,11/1/2023,-0.77%,1.77%,0.58%,1.71%,-3.03%,-0.63%,-2.66%,2.83%,2.51%,2.70%,3.66%,0.79%
,11/8/2023,-0.78%,4.82%,0.91%,1.75%,-1.55%,-3.12%,-0.34%,6.56%,-0.04%,-0.03%,0.26%,0.77%
